Tipo_corte,Current_1,Voltage_1,Current_2,Current_3,Voltage_3,formattedTimestamp,stringPersonalizado
17.31,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

14.56,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

12.08,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

20.52,242.3,7.97,19.62,21.31,241.3,08/11/2023 15:47:18,1

12.27,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

5.43,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

3.49,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

8.11,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

10.08,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

10.25,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

11.59,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

20.52,242.3,19.62,21.31,241.3,15.4,08/11/2023 15:47:18,1

20.52,13.8,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

13.21,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

10.44,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:18,1

12.93,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:19,1

14.8,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:19,1

5.17,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:19,1

7.17,20.52,242.3,19.62,21.31,241.3,08/11/2023 15:47:19,1

11.44,20.5,242.4,19.62,21.31,241.3,08/11/2023 15:47:19,1

5.04,20.5,242.4,19.58,21.33,241.3,08/11/2023 15:47:19,1

20.5,242.4,19.58,21.33,241.3,14.43,08/11/2023 15:47:19,1

13.12,19.58,21.33,241.3,20.5,242.4,08/11/2023 15:47:19,1

19.58,21.33,241.3,6.5,20.5,242.4,08/11/2023 15:47:19,1

19.58,21.33,241.3,10.12,20.5,242.4,08/11/2023 15:47:19,1

12.02,19.58,21.33,241.3,20.5,242.4,08/11/2023 15:47:19,1

19.58,21.33,241.3,12,20.5,242.4,08/11/2023 15:47:19,1

19.58,21.33,241.3,14.22,20.5,242.4,08/11/2023 15:47:19,1

19.58,21.33,241.3,6.41,20.5,242.4,08/11/2023 15:47:19,1

19.58,21.33,241.3,8.25,20.5,242.4,08/11/2023 15:47:19,1

17.78,19.58,21.33,241.3,20.5,242.4,08/11/2023 15:47:19,1

19.58,21.33,21.52,241.3,20.5,242.4,08/11/2023 15:47:19,1

19.58,21.33,241.3,8.42,20.5,242.4,08/11/2023 15:47:19,1

19.58,21.33,241.3,8.94,20.5,242.4,08/11/2023 15:47:20,1

19.58,10.59,21.33,241.3,20.5,242.4,08/11/2023 15:47:20,1

11.16,19.58,21.33,241.3,20.5,242.4,08/11/2023 15:47:20,1

19.58,21.33,241.3,16.19,20.5,242.4,08/11/2023 15:47:20,1

19.58,21.33,241.3,13.39,20.5,242.4,08/11/2023 15:47:20,1

19.58,21.33,241.3,11.49,20.5,242.4,08/11/2023 15:47:20,1

19.58,21.33,241.3,15.6,20.5,242.4,08/11/2023 15:47:20,1

10.94,19.58,21.33,241.3,20.5,242.4,08/11/2023 15:47:20,1

19.58,17.89,21.33,241.3,20.5,242.4,08/11/2023 15:47:20,1

19.58,21.33,241.3,10.45,20.5,242.4,08/11/2023 15:47:20,1

19.58,21.33,241.3,14.41,20.5,242.3,08/11/2023 15:47:20,1

19.58,21.33,241.3,20.5,20.94,242.3,08/11/2023 15:47:20,1

12.48,19.55,21.37,241.3,20.5,242.3,08/11/2023 15:47:20,1

19.55,21.37,241.3,9.35,20.5,242.3,08/11/2023 15:47:20,1

19.55,21.37,241.3,12.17,20.5,242.3,08/11/2023 15:47:20,1

19.55,21.37,241.3,19.09,20.5,242.3,08/11/2023 15:47:20,1

19.55,21.37,241.3,20.5,242.3,2.86,08/11/2023 15:47:20,1

7.66,19.55,21.37,241.3,20.5,242.3,08/11/2023 15:47:21,1

19.55,21.37,241.3,20.5,242.3,6.17,08/11/2023 15:47:21,1

5.31,20.5,242.3,19.55,21.37,241.3,08/11/2023 15:47:21,1

8.77,20.5,242.3,19.55,21.37,241.3,08/11/2023 15:47:21,1

20.5,242.3,11.28,19.55,21.37,241.3,08/11/2023 15:47:21,1

20.5,242.3,19.55,21.37,241.3,9.93,08/11/2023 15:47:21,1

5.34,20.5,242.3,19.55,21.37,241.3,08/11/2023 15:47:21,1

20.5,242.3,19.55,5.14,21.37,241.3,08/11/2023 15:47:21,1

20.5,242.3,13.61,19.55,21.37,241.3,08/11/2023 15:47:21,1

